,objectId,marriageStatus,occupation,educationLevel,latitude,longitude,city,province,age,sex
53,MCghuaw1EZ,single,Other,lessThanprimary,18.91457473377836,-70.74611031658475,,,53.0,female
54,gIoG2SAL99,widow,Other,lessThanprimary,18.91419571360472,-70.74628612033159,,,80.0,male
55,vUm9DasZTc,single,Other,lessThanprimary,18.91419571360472,-70.74628612033159,,,65.0,female
56,gyOSaOEQgz,single,Agriculture,lessThanprimary,18.91419571360472,-70.74628612033159,,,41.0,male
57,6K7eBUnJEV,concubine,Other,primary,18.9140410674912,-70.7461711206201,,,68.0,male
58,4Y2qXR2ooY,concubine,Other,lessThanprimary,18.9140410674912,-70.7461711206201,,,45.0,male
61,4wSOGbFeBV,widow,Ama de casa,lessThanprimary,18.914608983340596,-70.74573542929323,,,72.0,female
62,bjCSDxNLFH,,Other,lessThanprimary,18.914557686093183,-70.74563576846452,,,31.0,female
63,9doNLX9F08,concubine,Other,lessThanprimary,18.914557686093183,-70.74563576846452,,,45.0,female
64,JPGJztCjWk,,Other,,18.914810819568967,-70.74593139818937,,,10.0,female
65,sTBmXfAn0b,widow,Ama de casa,lessThanprimary,18.91474347097698,-70.74592041789623,,,67.0,female
66,OeiyiEHFAh,single,Ama de casa,lessThanprimary,18.914601518328507,-70.74609246341251,,,98.0,female
67,C5QqOVvRr7,single,Estudiante,someHighSchool,18.914909348840748,-70.74619140482577,,,20.0,female
68,UPqw3X8ug9,widow,Ama de casa,lessThanprimary,18.9149951376197,-70.74641117832692,,,18.0,female
69,KX5NnsSE2u,single,Other,lessThanprimary,18.914789613353943,-70.7460878883216,,,47.0,female
70,iOcR5hA8WH,concubine,Other,,18.92380464358155,-70.65983165062094,,,3.0,male
71,ujiuDvR13x,single,Other,lessThanprimary,18.936662669999997,-70.68324705999997,,,27.0,male
72,BGuxJCEjE6,single,Other,lessThanprimary,18.913522787916023,-70.7450494879485,,,60.0,female
73,AoZD3S7mGF,married,Ama de casa,lessThanprimary,18.9127946784896,-70.74451795785757,,,79.0,female
74,8BAdCPGEE1,concubine,Other,lessThanprimary,18.91280485575204,-70.74491364032247,,,73.0,male
75,bWCqNwtKYL,concubine,Ama de casa,lessThanprimary,18.912537186424167,-70.74492699473234,,,65.0,female
76,056xDPGU2U,concubine,Other,lessThanprimary,18.912727413716645,-70.74507392949494,,,79.0,male
77,R7oNw5umGV,single,Ama de casa,lessThanprimary,18.91262578314069,-70.74503067887456,,,63.0,female
78,TLpx4HkRVK,concubine,Other,lessThanprimary,18.912840737047524,-70.7448951435003,,,39.0,female
79,HQc99IlD5x,single,Other,lessThanprimary,18.912604367378087,-70.74533049955102,,,,female
93,GiArohoFUo,married,Other,college,18.9104736,-70.747658,Constanza,La Vega,41.0,female
94,QOef233GDr,,Other,,18.915344746800987,-70.74438904418679,,,,female
95,CPcwdxKZvx,single,Other,college,18.915121399999997,-70.74452159999998,Constanza,La Vega,41.0,female
96,pCUC9koa9i,,Other,,18.915699529196576,-70.7446105956228,,,,female
97,ksqIqyDCmv,concubine,Estudiante,someHighSchool,18.9157375,-70.7447149,Constanza,La Vega,20.0,female
98,bdlyQBYzAm,concubine,Other,primary,18.915832054155636,-70.74473228082664,Constanza,La Vega,55.0,male
99,VDJ2sZLiG3,concubine,Other,someHighSchool,18.9159143,-70.74477900000001,Constanza,La Vega,24.0,female
100,gz05FVJyCB,married,Other,highschool,18.9159059,-70.7448058,Constanza,La Vega,45.0,male
101,UkCPgFDhYy,single,Other,highschool,18.9166163,-70.7430358,Constanza,La Vega,33.0,male
102,lmH2R91HkK,widow,Other,primary,18.915987722593282,-70.74499312794836,Constanza,La Vega,66.0,male
103,tVGceWXMJ3,single,Ama de casa,primary,18.9166163,-70.7430358,Constanza,La Vega,70.0,female
104,0vjERv2TGe,concubine,Other,lessThanprimary,18.91633297318492,-70.74540643959375,Constanza,La Vega,71.0,male
105,PncxQdRaJl,single,Other,lessThanprimary,18.9166163,-70.7430358,Constanza,La Vega,77.0,male
106,bvFAjkWu5K,married,Other,highschool,18.9159058,-70.7448059,Constanza,La Vega,47.0,female
108,OxVlSOCW9m,single,Other,highschool,18.9166163,-70.7430358,Constanza,La Vega,35.0,female
109,5jTRrtiCx4,single,Estudiante,someHighSchool,18.916626899999997,-70.74298309999999,Constanza,La Vega,19.0,female
110,1gcG0KeyoC,single,Ama de casa,lessThanprimary,18.916626899999997,-70.74298309999999,Constanza,La Vega,55.0,female
