,objectId,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess
933,LmIDHG5Ja1,moreThan10,2-3AWeek,bottled,Y,cementPoor,poor,Other Hospital,Other,Delinquents,1-2,street,1,0,owned,
934,LmIDHG5Ja1,moreThan10,2-3AWeek,bottled,Y,cementPoor,poor,Other Hospital,Other,Delinquents,1-2,street,1,0,owned,
935,M3eKlYeoN6,1-2,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Dentist,Delinquents,1-2,street,2,0,rented,
936,9Hxy3BZsGk,5-10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Dentist,Delinquents,1-2,street,4,0,owned,
937,GpW0fYwMta,5-10,2-3AWeek,bottled,Y,cementPoor,working,Other Hospital,Dentist,Water,1-2,street,3,1,rented,
938,Urz1RKEtw3,3-4,2-3AWeek,bottled,Y,cementWorking,working,Clinic,Other,Delinquents,1-2,street,4,0,rented,
939,ERRZghE21B,1-2,1AWeek,bottled,Y,cementWorking,working,Other Hospital,Dentist,Other,1-2,street,2,0,rented,
940,UFfqEotkEt,1-2,2-3AWeek,bottled,Y,cementPoor,working,Other Hospital,Other,Water,3-5,street,3,1,rented,
941,1MBDOOrAJ0,lessThan1,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other,Water,1-2,street,2,0,rented,
942,kLd04npi9k,1-2,2-3AWeek,bottled,Y,cementPoor,working,Other Hospital,Dentist,Other,1-2,street,1,0,rented,
943,INVc5j01aJ,5-10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Dentist,Other,1-2,street,3,0,owned,
944,9CCAo8K744,lessThan1,2-3AWeek,bottled,Y,cementWorking,working,Clinic,Dentist,Other,1-2,street,1,0,rented,
945,MMXEjZT6V4,lessThan1,2-3AWeek,bottled,Y,cementPoor,working,Other Hospital,Dentist,Water,1-2,street,4,1,rented,
946,3LHxiLsUDW,5-10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Water,1-2,street,2,0,rented,
947,3LHxiLsUDW,5-10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Water,1-2,street,2,0,rented,
948,eqD138TaJu,5-10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other,Water,1-2,street,2,0,owned,
949,jrgwspSGHZ,5-10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other,Water,1-2,street,2,0,owned,
950,WPuwKH6xQy,1-2,2-3AWeek,bottled,Y,cementWorking,working,Clinic,Other,Delinquents,3-5,street,3,1,rented,
951,ivBXGlADU1,3-4,2-3AWeek,bottled,Y,cementWorking,working,Clinic,Other,Water,3-5,street,3,1,owned,
